attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor,comment
l,Ellenberg L value (Ellenberg et al. 2001),NA,NA,dimensionless,integer,numeric,NA,Ellenbeg H (2001) Zeigerwerte von Pflanzen in Mitteleuropa. 3rd ed. Scripta geobotanica 18: 9-166. ISBN 3884525182
t,Ellenberg T value (Ellenberg et al. 2001),NA,NA,dimensionless,integer,numeric,NA,Ellenbeg H (2001) Zeigerwerte von Pflanzen in Mitteleuropa. 3rd ed. Scripta geobotanica 18: 9-166. ISBN 3884525182
f,Ellenberg F value (Ellenberg et al. 2001),NA,NA,dimensionless,integer,numeric,NA,Ellenbeg H (2001) Zeigerwerte von Pflanzen in Mitteleuropa. 3rd ed. Scripta geobotanica 18: 9-166. ISBN 3884525182
fchange,Ellenberg value for changing moisture conditions (Ellenberg et al. 2001),NA,NA,NA,NA,factor,1 = changing moist / 2 = intensive chaning moist conditions,Ellenbeg H (2001) Zeigerwerte von Pflanzen in Mitteleuropa. 3rd ed. Scripta geobotanica 18: 9-166. ISBN 3884525182
r,Ellenberg R value (Ellenberg et al. 2001),NA,NA,dimensionless,integer,numeric,NA,Ellenbeg H (2001) Zeigerwerte von Pflanzen in Mitteleuropa. 3rd ed. Scripta geobotanica 18: 9-166. ISBN 3884525182
n,Ellenberg N value (Ellenberg et al. 2001),NA,NA,dimensionless,integer,numeric,NA,Ellenbeg H (2001) Zeigerwerte von Pflanzen in Mitteleuropa. 3rd ed. Scripta geobotanica 18: 9-166. ISBN 3884525182
targetHerb,Herbal target species (LfU 2018b / GE (p 40ff) / GT (p 70ff) / LR6510 (p 88f)),NA,NA,NA,NA,factor,yes / no,LfU (Bayersiches Landesamt fuer Umwelt) (2018b) Kartieranleitung Biotopkartierung Bayern Teil 2
targetGrass,Grass target species (LfU 2018b / GE (p 40ff) / GT (p 70ff) / LR6510 (p 88f)),NA,NA,NA,NA,factor,yes / no,LfU (Bayersiches Landesamt fuer Umwelt) (2018b) Kartieranleitung Biotopkartierung Bayern Teil 2
targetArrhenaterion,Target species of Arrhenatherion (LfU 2018b / GE6510  (p 42 section 1)),NA,NA,NA,NA,factor,yes / no,LfU (Bayersiches Landesamt fuer Umwelt) (2018b) Kartieranleitung Biotopkartierung Bayern Teil 2
ffh6510,Species of the FFH type 6510 (LfU & LWF 2018 / p 90),NA,NA,NA,NA,factor,yes / no,LfU (Bayersiches Landesamt fuer Umwelt) & LWF (Bayersiche Landesanstalt fuer Forstwirtschaft) (2018) Handbuch der Lebensraumtypen nach Anhang I der FFH-Richtlinie in Bayern.
ffh6210,Species of the FFH type 6210 (LfU & LWF 2018 / p 76),NA,NA,NA,NA,factor,yes / no,LfU (Bayersiches Landesamt fuer Umwelt) & LWF (Bayersiche Landesanstalt fuer Forstwirtschaft) (2018) Handbuch der Lebensraumtypen nach Anhang I der FFH-Richtlinie in Bayern.
table30,LfU (2018a): Tafel 30,NA,NA,NA,NA,factor,yes / no,LfU (Bayerisches Landesamt fuer Umwelt) (2018a) Bestimmungsschluessel fuer Flaechen nach paragraph 30 BNatSchG/Art. 23 BayNatSchG
table33,LfU (2018a): Tafel 33,NA,NA,NA,NA,factor,yes / no,LfU (Bayerisches Landesamt fuer Umwelt) (2018a) Bestimmungsschluessel fuer Flaechen nach paragraph 30 BNatSchG/Art. 23 BayNatSchG
table34,LfU (2018a): Tafel 34,NA,NA,NA,NA,factor,yes / no,LfU (Bayerisches Landesamt fuer Umwelt) (2018a) Bestimmungsschluessel fuer Flaechen nach paragraph 30 BNatSchG/Art. 23 BayNatSchG
nitrogenIndicator,Species which are nitrogen indicators (LfU 2018b / p 40),NA,NA,NA,NA,factor,yes / no,LfU (Bayersiches Landesamt fuer Umwelt) (2018b) Kartieranleitung Biotopkartierung Bayern Teil 2
grazingIndicator,Species which are grazing indicators (LfU 2018b / p 42),NA,NA,NA,NA,factor,yes / no,LfU (Bayersiches Landesamt fuer Umwelt) (2018b) Kartieranleitung Biotopkartierung Bayern Teil 2
ruderalIndicator,Species which are ruderal indicators according to Jakob Huber and Johannes Kollmann,NA,NA,NA,NA,factor,yes / no,NA
